"","All Patients (N = 147)","HOPD (N = 106)","ASC (N = 41)","Increment (HOPD - ASC)","95% CI","p-value"
"Cost Outcomes, Patient Reported Outcomes, Utility and QALY Measures","","","","","",""
"Total Costs","$13,542 ($4,539)","$14,140 ($4,707)","$11,998 ($3,695)","$1,042","(-$556, $2,639)","0.199"
"Preop SNOT22","41.13 (23.88)","40.08 (22.72)","43.84 (26.74)","-2.02","(-11.49, 7.45)","0.674"
"Postop SNOT22","29.62 (23.62)","28.19 (23.25)","33.32 (24.44)","-3.59","(-13.15, 5.97)","0.459"
"Preop QALY","0.317 (0.093)","0.328 (0.085)","0.289 (0.108)","0.023","(-0.012, 0.059)","0.196"
"Postop QALY","0.347 (0.094)","0.353 (0.093)","0.329 (0.098)","0.014","(-0.024, 0.052)","0.468"
"Incremental QALY (ΔQALY)","0.030 (0.073)","0.025 (0.080)","0.041 (0.052)","-0.010","(-0.038, 0.019)","0.512"
"Cost-Effectiveness and Efficiency Analysis","","","","","",""
"ICER ($/QALY)","","","","-$108,719","(-$1,295,305, $1,094,840)",""
"Net Monetary Benefit (WTP = $100k/QALY)","-$10,583 ($7,964)","-$11,614 ($8,319)","-$7,920 ($6,307)","-$2,000","(-$4,978, $978)","0.186"
"Probability Cost-Effective at $100k/QALY","","","","","",""
"Probability Cost-Effective at $200k/QALY","","","","","",""
"QALY per Cost (ΔQALY / Cost)","0.00000210 (0.00000590)","0.00000148 (0.00000630)","0.00000369 (0.00000442)","-0.00000183","(-0.00000381, 0.00000048)","0.121"
"Definitions / Notes","","","","","",""
"HOPD - Hospital Outpatient Departments","","","","","",""
"ASC - Ambulatory Surgical Center","","","","","",""
"SNOT22 - Sino-nasal Outcome Test","","","","","",""
"QALY - Quality-Adjusted Life Year","","","","","",""
"ICER - Incremental Cost Effectiveness Ratio","","","","","",""
"NMB - Net Monetary Benefit","","","","","",""
"*P value < 0.05","","","","","",""
